Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,310.950012,311.440002,305.390015,310.839996,306.716888,11857600
2020-11-03,286.200012,294.279999,280.779999,285.570007,281.782104,58132500
2020-11-04,287.790009,299.170013,285.299988,295.709991,291.787598,28791200
2020-11-05,289.089996,291.250000,279.600006,287.750000,283.933167,50065200
2020-11-06,291.489990,300.890015,289.786011,299.950012,295.971375,25259600
2020-11-09,303.769989,304.000000,290.500000,290.529999,286.676300,22559900
2020-11-10,279.970001,280.000000,264.329987,266.540009,263.004517,61064000
2020-11-11,261.920013,271.920013,261.204987,265.649994,262.126312,41699000
2020-11-12,271.040009,271.200012,263.040009,264.309998,260.804108,27119100
2020-11-13,264.720001,265.440002,257.170013,260.839996,257.380127,33942800
2020-11-16,260.420013,262.570007,257.029999,258.309998,254.883682,20864200
2020-11-17,260.279999,260.279999,256.540009,256.799988,253.393707,19739500
2020-11-18,257.760010,258.309998,252.550003,255.830002,252.436584,28307100
2020-11-19,255.000000,261.399994,253.559998,259.890015,256.442749,20752800
2020-11-20,263.970001,272.369995,261.899994,270.739990,267.148804,34178400
2020-11-23,274.750000,275.730011,266.411011,270.109985,266.527161,25317100
2020-11-24,276.234985,280.609985,272.799988,279.959991,276.246490,20660500
2020-11-25,275.700012,279.329987,274.049988,277.720001,274.036224,15229300
2020-11-27,278.799988,278.920013,275.665985,276.480011,272.812683,9583200
2020-11-30,268.970001,268.970001,262.519989,263.359985,259.866699,30476100
2020-12-01,265.470001,265.670013,261.570007,264.010010,260.508087,14573100
2020-12-02,262.000000,263.100006,260.109985,261.320007,257.853760,13919700
2020-12-03,263.779999,268.600006,263.140015,266.910004,263.369629,15520500
2020-12-04,271.019989,271.299988,266.269989,267.250000,263.705109,15527600
2020-12-07,265.700012,265.970001,262.600006,264.000000,260.498199,11388700
2020-12-08,265.200012,268.399994,263.869995,266.089996,262.560486,9447700
2020-12-09,267.559998,267.910004,263.100006,263.799988,260.300842,9060700
2020-12-10,261.989990,266.089996,261.200012,264.869995,261.356659,10290300
2020-12-11,264.290009,265.320007,262.500000,264.540009,261.031067,7771300
2020-12-14,260.320007,260.855011,256.029999,256.029999,252.633926,18369900
2020-12-15,255.339996,255.679993,252.300003,255.110001,251.726135,16595600
2020-12-16,257.739990,263.179993,257.040009,261.890015,258.416199,15804800
2020-12-17,264.700012,264.850006,260.200012,264.429993,260.922485,14306600
2020-12-18,263.899994,264.899994,259.200012,260.000000,256.551270,15981800
2020-12-21,255.169998,260.459991,254.500000,260.429993,256.975555,10901800
2020-12-22,257.869995,258.339996,255.410004,255.830002,252.436584,11468400
2020-12-23,255.500000,257.350006,252.529999,256.179993,252.781937,10729200
2020-12-24,228.235001,229.899994,211.229996,222.000000,219.055313,141830000
2020-12-28,216.880005,224.990005,215.320007,222.360001,219.410538,73512100
2020-12-29,231.759995,239.190002,229.600006,236.259995,233.126160,69715900
2020-12-30,243.348007,243.389999,234.645004,238.389999,235.227905,44812300
2020-12-31,237.460007,238.919998,231.026993,232.729996,229.642975,23451800
2021-01-04,226.500000,230.380005,225.039993,227.850006,224.827728,24897900
2021-01-05,229.050003,240.759995,228.119995,240.399994,237.211243,35823800
2021-01-06,234.949997,238.300003,225.860001,227.610001,224.590897,37146100
